"","IDV","IDS","IDS_CHEF","IDS_RAPID","edu","age","age2","male","lit","C1","G","G1","G2","G3","G4","q078_a_elections","q078_b_complaints","q078_c_suggestions","q078_corruption","q078_d_sensibiliser","q078_f_consult","q078_g_pork","q077_a_vote","q077_b_complain","q077_c_suggest","q077_d_meetings","q077_e_obey","q077_f_taxes","q077_g_support","q076_edu_e","q076_sante_e","q079_f_police","q079_g_state","qd2_chief","qd6_chief","qd7_chief","q011_sex","cq057_a_managed_conflict","cq058_a_conflict_same_locality","cq059_a_conflict_different_local","cq060_a_stealing","cq061_a_legal_problems","cq062_a_between_villagers","cq063_a_social","cq073_a_marriage","cq074_a_other_activities","avg_rain_dev","survey_month","t_minus_4_start","t_minus_4_end","t_minus_8_start","t_minus_8_end","meanEvents_t_minus_4","meanEvents_t_minus_8","Confl_Shock","rain","confl"
"43",11051,110516,"BASANGA",1,3,5.1,26.01,1,0,1,0.178571428571429,0.428571428571429,0.285714285714286,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,"yes",0,0,0,1,1,1,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"44",11051,110519,"BASANGA",1,4,4.3,18.49,0,0,1,0.321428571428571,0.857142857142857,0.428571428571429,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,"no",0,0,0,1,1,1,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"45",11051,110518,"BASANGA",1,8,3.7,13.69,1,1,1,0.178571428571429,0.428571428571429,0.285714285714286,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,"yes",0,0,0,1,1,1,1,0,0,1.28459987540552,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.28459987540552,0
"46",11052,110526,"BASANGA",0,7,3.5,12.25,0,0,0.333333333333333,0.107142857142857,0.142857142857143,0.285714285714286,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,"no",0,0,0,1,1,1,1,0,0,1.29596737843724,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.29596737843724,0
"47",11052,110527,"BASANGA",0,2,5,25,1,0,0.666666666666667,0.267857142857143,0.142857142857143,0.428571428571429,0,0.5,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,"yes",0,0,0,1,1,1,1,0,0,1.29596737843724,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.29596737843724,0
"48",11052,110528,"BASANGA",0,3,3,9,0,0,0.666666666666667,0.214285714285714,0.285714285714286,0.571428571428571,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,"no",0,0,0,1,1,1,1,0,0,1.29596737843724,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.29596737843724,0
"49",11052,110525,"BASANGA",0,8,3.9,15.21,1,1,0.666666666666667,0.321428571428571,0.714285714285714,0.571428571428571,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,"yes",0,0,0,1,1,1,1,0,0,1.29596737843724,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.29596737843724,0
"50",11052,110529,"BASANGA",0,7,3.5,12.25,1,0,0,0.142857142857143,0.285714285714286,0.285714285714286,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"yes",0,0,0,1,1,1,1,0,0,1.29596737843724,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.29596737843724,0
"51",11061,110619,"BASANGA",1,1,4.4,19.36,0,0,1,0.178571428571429,0.428571428571429,0.285714285714286,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,"yes",0,0,0,1,1,0,1,0,0,1.25649974764932,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.25649974764932,0
"52",11061,110615,"BASANGA",1,8,4.3,18.49,1,1,0.666666666666667,0.214285714285714,0.428571428571429,0.428571428571429,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,"yes",0,0,0,1,1,0,1,0,0,1.25649974764932,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.25649974764932,0
"53",11061,110617,"BASANGA",1,6,5,25,1,1,0.666666666666667,0.214285714285714,0.428571428571429,0.428571428571429,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,"yes",0,0,0,1,1,0,1,0,0,1.25649974764932,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.25649974764932,0
"54",11061,110618,"BASANGA",1,1,3.8,14.44,0,0,1,0.0714285714285714,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,"no",0,0,0,1,1,0,1,0,0,1.25649974764932,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.25649974764932,0
"55",11061,110616,"BASANGA",1,7,1.9,3.61,0,1,0,0.392857142857143,0.285714285714286,0.285714285714286,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,NA,1,0,0,0,"no",0,0,0,1,1,0,1,0,0,1.25649974764932,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.25649974764932,0
"56",11062,110628,"BASANGA",0,7,5.1,26.01,1,1,0,0.392857142857143,1,0.571428571428571,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,0,0,0,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23395523294653,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.23395523294653,0
"57",11062,110627,"BASANGA",0,3,4.3,18.49,0,0,1,0.214285714285714,0.428571428571429,0.428571428571429,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23395523294653,Dec 2011,"2007-12-01","2011-11-01","2003-12-01","2007-11-01",0,0,0,1.23395523294653,0
